Name,Date,Priority,Status
Binyu,17-09-2021,42,Joined
Jeffrey,17-09-2021,43,Joined
Jorge,17-09-2021,44,Joined
Brandon,17-09-2021,45,Joined
Devonte,17-09-2021,46,Left List
Faadi,17-09-2021,47,Joined
Emily,18-09-2021,1,Registered
Tasharra,18-09-2021,2,Dropped Class
Brendon,18-09-2021,3,Dropped Class
Sawhitney,18-09-2021,4,Dropped Class
Shavel,18-09-2021,5,Registered
Rene,18-09-2021,6,Registered
Toni,18-09-2021,7,Registered
Haibaa,18-09-2021,8,Registered
Shabaan,18-09-2021,9,Registered
Labeeb,18-09-2021,10,Registered
Kiah,18-09-2021,11,Registered
Nabeela,18-09-2021,12,Registered
Ambre,18-09-2021,13,Registered
Presilla,18-09-2021,14,Left List
Ryan,18-09-2021,15,Registered
Jillian,18-09-2021,16,Joined
Haajid,18-09-2021,17,Left List
Lubaaba,18-09-2021,18,Joined
Micah,18-09-2021,19,Joined
Cheyenne,18-09-2021,20,Joined
Lolita,18-09-2021,21,Left List
Saara,18-09-2021,22,Joined
Hannah,18-09-2021,23,Joined
Sara,18-09-2021,24,Joined
Kelsey,18-09-2021,25,Joined
Adrian,18-09-2021,26,Joined
Cody,18-09-2021,27,Joined
Marisela,18-09-2021,28,Joined
Leyvi,18-09-2021,29,Joined
Samantha,18-09-2021,30,Joined
Santos,18-09-2021,31,Left List
Dakota,18-09-2021,32,Left List
Hanyuan,18-09-2021,33,Joined
Yolanda,18-09-2021,34,Joined
Levi,18-09-2021,35,Joined
Zachery,18-09-2021,36,Left List
Victoria,18-09-2021,37,Joined
Shiyan,18-09-2021,38,Joined
Nusaiba,18-09-2021,39,Joined
Abyad,18-09-2021,40,Joined
Jose,18-09-2021,41,Joined
Binyu,18-09-2021,42,Joined
Jeffrey,18-09-2021,43,Joined
Jorge,18-09-2021,44,Joined
Brandon,18-09-2021,45,Joined
Devonte,18-09-2021,46,Left List
Faadi,18-09-2021,47,Joined
Emily,19-09-2021,1,Registered
Tasharra,19-09-2021,2,Dropped Class
Brendon,19-09-2021,3,Dropped Class
Sawhitney,19-09-2021,4,Dropped Class
Shavel,19-09-2021,5,Registered
Rene,19-09-2021,6,Registered
Toni,19-09-2021,7,Registered
Haibaa,19-09-2021,8,Registered
Shabaan,19-09-2021,9,Registered
Labeeb,19-09-2021,10,Registered
Kiah,19-09-2021,11,Registered
Nabeela,19-09-2021,12,Registered
Ambre,19-09-2021,13,Registered
Presilla,19-09-2021,14,Left List
Ryan,19-09-2021,15,Registered
Jillian,19-09-2021,16,Joined
Haajid,19-09-2021,17,Left List
Lubaaba,19-09-2021,18,Joined
Micah,19-09-2021,19,Joined
Cheyenne,19-09-2021,20,Joined
Lolita,19-09-2021,21,Left List
Saara,19-09-2021,22,Joined
Hannah,19-09-2021,23,Joined
Sara,19-09-2021,24,Joined
Kelsey,19-09-2021,25,Joined
Adrian,19-09-2021,26,Joined
Cody,19-09-2021,27,Joined
Marisela,19-09-2021,28,Joined
Leyvi,19-09-2021,29,Joined
Samantha,19-09-2021,30,Joined
Santos,19-09-2021,31,Left List
Dakota,19-09-2021,32,Left List
Hanyuan,19-09-2021,33,Joined
Yolanda,19-09-2021,34,Joined
Levi,19-09-2021,35,Joined
Zachery,19-09-2021,36,Left List
Victoria,19-09-2021,37,Joined
Shiyan,19-09-2021,38,Joined
Nusaiba,19-09-2021,39,Joined
Abyad,19-09-2021,40,Joined
Jose,19-09-2021,41,Joined
Binyu,19-09-2021,42,Joined
Jeffrey,19-09-2021,43,Joined
Jorge,19-09-2021,44,Joined
Brandon,19-09-2021,45,Joined
Devonte,19-09-2021,46,Left List
Faadi,19-09-2021,47,Joined
Emily,20-09-2021,1,Registered
Tasharra,20-09-2021,2,Dropped Class
Brendon,20-09-2021,3,Dropped Class
Sawhitney,20-09-2021,4,Dropped Class
Shavel,20-09-2021,5,Registered
Rene,20-09-2021,6,Registered
Toni,20-09-2021,7,Registered
Haibaa,20-09-2021,8,Registered
Shabaan,20-09-2021,9,Registered
Labeeb,20-09-2021,10,Registered
Kiah,20-09-2021,11,Registered
Nabeela,20-09-2021,12,Registered
Ambre,20-09-2021,13,Registered
Presilla,20-09-2021,14,Left List
Ryan,20-09-2021,15,Registered
Jillian,20-09-2021,16,Joined
Haajid,20-09-2021,17,Left List
Lubaaba,20-09-2021,18,Joined
Micah,20-09-2021,19,Joined
Cheyenne,20-09-2021,20,Joined
Lolita,20-09-2021,21,Left List
Saara,20-09-2021,22,Joined
Hannah,20-09-2021,23,Joined
Sara,20-09-2021,24,Joined
Kelsey,20-09-2021,25,Joined
Adrian,20-09-2021,26,Joined
Cody,20-09-2021,27,Joined
Marisela,20-09-2021,28,Joined
Leyvi,20-09-2021,29,Joined
Samantha,20-09-2021,30,Joined
Santos,20-09-2021,31,Left List
